Task	Participant	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Number_of_Events.Logged_live_Event	Time_to_first_Event.Logged_live_Event	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Task 1	Alessia	Entire Recording	1	scenevideo	18760	0	0				15027	884	17	1262	3,24215	13	208,92	31,36	757,23	207,09	6,79	2	23,8	88,32	2060	4,17	31,36	31,36	4,43
Task 2	Alessia	Entire Recording	1	scenevideo	35230	0	0				33320	1333	25	140	3,15272	19	218,53	30,17	771,53	235,31	6,87	1,02	22,61	130,47	236	300,27	71,24	66,02	3,43
Task 3	Alessia	Entire Recording	1	scenevideo	14150	0	0				11421	317	36	120	3,35347	32	221,49	31,9	727,8	169,84	7,14	0,69	22,31	228,55	155	85,4	564,93	347,76	20,58
Task 4	Alessia	Entire Recording	1	scenevideo	36311	0	0				33981	971	35	361	3,09314	28	177,17	30,78	367,07	118,35	5,35	0,73	10,63	149,81	116	277,58	227,08	227,08	4,61
Task 5	Alessia	Entire Recording	1	scenevideo	48172	0	0				44380	1432	31	120	3,10648	28	239,83	31,2	783,68	215,83	8,02	0,83	23,31	224,55	295	209,12	31,53	31,53	1,31
Task 6	Alessia	Entire Recording	1	scenevideo	14272	0	0				11220	401	28	80	3,25457	20	202,15	31,83	1008,38	237,22	6,83	0,87	32,97	136,57	177	72,51	54,57	54,57	1,52
Task 7	Alessia	Entire Recording	1	scenevideo	77579	0	0				73613	1600	46	100	3,06389	38	174,1	31,2	700,46	170,44	5,49	0,72	23,02	208,69	189	85,95	539,62	282,72	23,02
Task 8	Alessia	Entire Recording	1	scenevideo	87961	0	0				73974	1681	44	100	3,02268	30	160,77	31,7	649,31	160,01	4,6	0,69	20,79	137,86	152	114,51	61,53	61,53	0,69
Task 9	Alessia	Entire Recording	1	scenevideo	13631	0	0				11781	536	22	381	3,19563	19	156,07	31,68	577,96	127,33	4,93	0,78	22,27	93,59	457	83,83	577,96	366,09	22,27
Task 10	Alessia	Entire Recording	1	scenevideo	23320	0	0				20036	385	52	160	3,19355	39	146,67	30,63	658,48	119,2	4,21	0,68	23,92	164,02	288	83,01	153,38	111,41	4,48
Task 11	Alessia	Entire Recording	1	scenevideo	41235	0	0				37087	530	70	140	3,09847	61	101,41	30,71	552,88	91,77	2,98	0,55	21,03	181,73	191	83,82	42,01	42,01	0,78
Task 12	Alessia	Entire Recording	1	scenevideo	12069	0	0				9938	382	26	100	3,0805	24	184,01	45,69	721,94	169,34	6,83	0,86	33,53	163,98	217	99,84	140,29	118,55	5,1
Task 13	Alessia	Entire Recording	1	scenevideo	13864	0	0				9938	199	50	140	3,30414	43	209,94	43,16	449,22	110,43	6,34	1,25	13,76	272,46	89	297,47	293,85	231,25	8,53
Task 14	Alessia	Entire Recording	1	scenevideo	14955	0	0				11180	266	42	220	3,16712	33	217,26	31,07	401,56	123,8	6,5	0,55	12,51	214,44	158	108,78	201,34	117,78	5,77
